"","Name","ID","Affiliation","Cites","H_Index","Quartile"
"1","David Altman","xWbhhH8AAAAJ","PUC",4805,32,1
"2","Lucia Dammert","Kh9TTGwAAAAJ","USACH",4138,29,1
"3","Peter Siavelis","HGTSACIAAAAJ","COES",3489,29,1
"4","Patricio D Navia","IBcs-ZwAAAAJ","UDP-NYU",3213,27,1
"5","Cristóbal Rovira Kaltwasser","4iRjwbMAAAAJ","UDP",3939,26,1
"6","Juan Pablo Luna","IgwSc8oAAAAJ","PUC",2859,26,1
"7","Gabriel L. Negretto","AP5zUGwAAAAJ","PUC",2480,26,1
"8","Carlos Huneeus","Kq4dWnoAAAAJ","UCHILE",2718,24,1
"9","Alfredo Joignant","C6i7344AAAAJ","UDP-COES",1646,23,1
"10","Fernando Atria","InrV7oEAAAAJ","UCHILE",1807,22,1
"11","Claudio Fuentes","ckIjzZQAAAAJ","UDP",1544,21,1
"12","Kirsten Sehnbruch","qFLejd0AAAAJ","LSE-COES",1018,18,1
"13","Mauricio Morales Quiroga","BPVbhToAAAAJ","UTALCA",938,16,1
"14","Nicolás M. Somma","yyr6ge0AAAAJ","PUC",741,16,1
"15","Egon Montecinos","NcxMjkAAAAAJ","UACH",700,15,1
"16","Javier Couso","r0EzJ_IAAAAJ","UDP",959,14,1
"17","Mauricio Olavarría-Gambi","yXeMPpEAAAAJ","USACH",793,14,1
"18","Patricio Valdivieso Fernández","RqH9nVAAAAAJ","ULAGOS",761,13,1
"19","Pierre Ostiguy","CdsiN9QAAAAJ","PUC",756,13,1
"20","Rossana Castiglioni","gkHNPiwAAAAJ","UDP",496,13,1
"21","Eugenio Guzman","kHIa5vwAAAAJ","UDD",525,12,1
"22","William Porath","JxOP4-oAAAAJ","PUC",422,12,1
"23","Sergio Toro Maureira","F7Dguu4AAAAJ","UDEC",547,11,1
"24","Julieta Suarez-Cao","i2JJrfYAAAAJ","PUC",495,11,1
"25","Rodrigo Mardones","5cAowpkAAAAJ","PUC",451,11,1
"26","Ricardo Gamboa Valenzuela","nOBjxWUAAAAJ","UCHILE",392,11,1
"27","Bastián González-Bustamante","UknWOrEAAAAJ","OXF-USACH",285,11,1
"28","Cesar Ross","26ZJSbAAAAAJ","USACH",567,10,1
"29","Alejandro Corvalan","KiGpYt4AAAAJ","UDP",395,10,1
"30","Olga Espinoza M.","_aEt164AAAAJ","UCHILE",352,10,1
"31","Octavio Avendaño","JRlbehsAAAAJ","UCHILE-UAH",323,10,1
"32","Mireya Dávila","OLDMbVAAAAAJ","UCHILE",322,10,1
"33","Isaac Caro","0i6XB6MAAAAJ","UAH",254,10,1
"34","Valeria Palanza","-lzMBqcAAAAJ","PUC",503,9,2
"35","Cristian Garay vera","14QQq0cAAAAJ","USACH",396,9,2
"36","Matias Bargsted","0oYjLYEAAAAJ","PUC",380,9,2
"37","Esteban Valenzuela","dQZFoWYAAAAJ","UDEC",372,9,2
"38","Carolina Segovia","ApRJQVkAAAAJ","UDP",358,8,2
"39","Sofia Donoso","MR9YwQkAAAAJ","UCHILE",293,8,2
"40","Stéphanie Alenda","HcNzaN4AAAAJ","UNAB",252,8,2
"41","Miguel Angel Lopez Varas","rIbm6tMAAAAJ","UCHILE",238,8,2
"42","Mauricio Apablaza","qKDaZAMAAAAJ","UDD",228,8,2
"43","Alejandro Olivares Lavados","POHGEtYAAAAJ","FLACSO",203,8,2
"44","Juan Pablo Couyoumdjian","dJMnKfcAAAAJ","UDD",202,8,2
"45","Tomas Dosek","XrCQY-oAAAAJ","PUCP",199,8,2
"46","Veronica Figueroa Huencho","7lA1piEAAAAJ","UCHILE",188,8,2
"47","Fernando Rosenblatt","HaX6qs4AAAAJ","UDP",177,8,2
"48","Francisco Urdinez","eubX-aYAAAAJ","PUC",174,8,2
"49","Jorge Fabrega","VM3OxhsAAAAJ","UDD",173,8,2
"50","Antonio Bascuñán Rodríguez","CDjgEGIAAAAJ","UAI",194,7,2
"51","Antoine Maillet","Y4q4OfoAAAAJ","UCHILE",176,7,2
"52","Cristian Pliscoff","7HVy8iAAAAAJ","UCHILE",170,7,2
"53","Umut Aydin","NvlbMocAAAAJ","PUC",157,7,2
"54","Robert L. Funk","9mAm1D8AAAAJ","UCHILE",142,7,2
"55","Germán Bidegain","RBv0BPIAAAAJ","UDELAR",136,7,2
"56","Kenneth Bunker","kFHaW6wAAAAJ","UNIMI",117,7,2
"57","Cristian Pérez Muñoz","MKayIWEAAAAJ","PUC",88,7,2
"58","Lorena Oyarzún Serrano","5kiG1xgAAAAJ","UCHILE",189,6,2
"59","Cristina Moyano Barahona","MwnsXycAAAAJ","USACH",168,6,2
"60","Adrian Albala","KZhWCqgAAAAJ","UnB",160,6,2
"61","Rodrigo Medel Sierralta","nYgItkMAAAAJ","PUC",131,6,2
"62","Jeanne W. Simon","_mHLvikAAAAJ","UDEC",144,5,2
"63","Rodrigo Osorio","3zePL_gAAAAJ","UDP",94,5,2
"64","Nicole Jenne","065KEBgAAAAJ","PUC",85,5,2
"65","Giancarlo Visconti","IYungBYAAAAJ","PURDUE",72,5,2
"66","Sandra Baquedano Jer","R84mfaoAAAAJ","UCHILE",66,5,2
"67","Vesna Mandakovic","VqjxJ4gAAAAJ","UDD",61,5,2
"68","Loreto Correa","iIDHIHkAAAAJ","ANEPE",48,5,2
"69","Claudia Heiss","nj4yvK0AAAAJ","UCHILE",93,4,3
"70","Evelyn Arriagada","zAw8CDAAAAAJ","UDP",84,4,3
"71","Ines Picazo Verdejo","8rPfIQYAAAAJ","UDEC",84,4,3
"72","José Hernández-Bonivento","tBxjDkcAAAAJ","UA",62,4,3
"73","Sebastián A. Umpierrez","82aQaYIAAAAJ","UDP",62,4,3
"74","Juan Carlos Arellano","wsdmHJ0AAAAJ","UCT",60,4,3
